id,product_tmpl_id/id,product_qty
arrocesa_recipe_001,ARROZ CASCARA HÚMEDO GRANO EXTRA LARGO,1
arrocesa_recipe_002,ARROZ CASCARA SECO GRANO EXTRA LARGO,1
arrocesa_recipe_003,ARROZ PILADO EXTRA LARGO NATURAL,1
arrocesa_recipe_004,Arroz Reserva Especial Natural listo para ensacar ó empacar,1
arrocesa_recipe_005,Reserva Especial Natural Funda 2 KG,1
arrocesa_recipe_006,Reserva Especial Natural Arroba 11.34 KG,1
arrocesa_recipe_007,Reserva Especial Natural Saco QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_008,Reserva Especial Natural Funda 2 KG ensacado 13 u. manual ,1
arrocesa_recipe_009,Reserva Especial Natural Funda 2 KG enfardado 13 u. maquina,1
arrocesa_recipe_010,Arroz pilado extra largo Envejecido,1
arrocesa_recipe_011,Arroz Reserva Especial Envejecido listo para ensacar ó empacar,1
arrocesa_recipe_012,Reserva Especial Envejecido Funda 2 KG,1
arrocesa_recipe_013,Reserva Especial Envejecido Arroba 11.34 KG,1
arrocesa_recipe_014,Reserva Especial Envejecido Saco QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_015,Reserva Especial Envejecido Funda 2 KG ensacado 13 u. manual ,1
arrocesa_recipe_016,Reserva Especial Envejecido Funda 2 KG enfardado 13 u. maquina,1
arrocesa_recipe_017,Arroz Casa del Arroz Gourmet Integral listo para ensacar ó empacar,1
arrocesa_recipe_018,Casa del Arroz Gourmet Integral Funda 1 KG,1
arrocesa_recipe_019,Casa del Arroz Gourmet Integral Funda 1 KG enfardado 30 u. maquina,1
arrocesa_recipe_020,Arroz Casa del Arroz Gourmet Natural listo para ensacar ó empacar,1
arrocesa_recipe_021,Casa del Arroz Gourmet Natural Funda 1 KG,1
arrocesa_recipe_022,Casa del Arroz Gourmet Natural Funda 1 KG enfardado 30 u. maquina,1
arrocesa_recipe_023,Arroz pilado extra largo Envejecido,1
arrocesa_recipe_024,Arroz Casa del Arroz Gourmet Envejecido listo para ensacar ó empacar,1
arrocesa_recipe_025,Casa del Arroz Gourmet Envejecido Funda 1 KG,1
arrocesa_recipe_026,Casa del Arroz Gourmet Envejecido Funda 1 KG enfardado 30 u. maquina,1
arrocesa_recipe_027,Arroz pilado extra largo Envejecido,1
arrocesa_recipe_028,Arroz Casa del Arroz Macareño Envejecido listo para ensacar ó empacar,1
arrocesa_recipe_029,Casa del Arroz Macareño Envejecido 10 KG,1
arrocesa_recipe_030,Casa del Arroz Macareño Envejecido Saco QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_031,Arroz Gustadina Natural Extra Largo listo para vitaminizar,1
arrocesa_recipe_032,Arroz Gustadina Vitaminas Natural Extra Largo listo para empacar,1
arrocesa_recipe_033,Gustadina Vitaminas Natural Funda 454 GR - 1 Lb Extra Largo,1
arrocesa_recipe_034,Gustadina Vitaminas Natural Funda 908 GR - 2 Lb Extra Largo,1
arrocesa_recipe_035,Gustadina Vitaminas Natural Funda 2 KG Extra Largo,1
arrocesa_recipe_036,Gustadina Vitaminas Natural Funda 5 KG Extra Largo,1
arrocesa_recipe_037,Gustadina Vitaminas Natural Saco 10 KG Extra Largo,1
arrocesa_recipe_038,Gustadina Vitaminas Natural Funda 454 GR - 1Lb 10 u.,1
arrocesa_recipe_039,Gustadina Vitaminas Natural Funda 454 GR - 1Lb 24 u.,1
arrocesa_recipe_040,Gustadina Vitaminas Natural Funda 2 Lb Extra Largo 30 U.,1
arrocesa_recipe_041,Gustadina Vitaminas Natural Funda 2KG Extra largo  13 u. maquina                         ,1
arrocesa_recipe_042,Gustadina Vitaminas Natural Funda 2KG Extra largo  15 u. maquina                         ,1
arrocesa_recipe_043,Arroz Gustadina Integral Integral listo para ensacar ó empacar,1
arrocesa_recipe_044,Gustadina Integral Integral Funda 1 KG,1
arrocesa_recipe_045,Gustadina Integral Integral Funda 2 KG,1
arrocesa_recipe_046,Gustadina Integral Funda 2 KG enfardado 13 u. maquina,1
arrocesa_recipe_047,Gustadina Integral Funda 2 KG enfardado  15 u. maquina                         ,1
arrocesa_recipe_048,Arroz pilado extra largo Envejecido,1
arrocesa_recipe_049,Arroz Gustadina Envejecido Extra Largo listo para vitaminizar,1
arrocesa_recipe_050,Arroz Gustadina Vitaminas Envejecido Extra Largo listo para empacar,1
arrocesa_recipe_051,Gustadina Vitaminas 2KG Envejecido Extra Largo ,1
arrocesa_recipe_052,Gustadina Vitaminas 5KG Envejecido Extra Largo,1
arrocesa_recipe_053,Gustadina Vitaminas 2KG Envejecido Extra largo  13 u. maquina                         ,1
arrocesa_recipe_054,Gustadina Vitaminas 2KG Envejecido Extra largo  15 u. maquina                         ,1
arrocesa_recipe_055,Gustadina Vitaminas 5KG Envejecido Extra Largo  6 u. maquina                         ,1
arrocesa_recipe_056,Arroz pilado extra largo Envejecido,1
arrocesa_recipe_057,Arroz Rendidor Envejecido Extra Largo listo para empacar                           ,1
arrocesa_recipe_058,Arroz Rendidor Envejecido Extra Largo Arroba 11.34 KG,1
arrocesa_recipe_059,Arroz Gustadina Natural Nestle Extra Largo listo para empacar,1
arrocesa_recipe_060,Gustadina 10 LB Natural Extra Largo Nestle                        ,1
arrocesa_recipe_061,Gustadina 10 LB Natural Extra Largo Nestle 5 u.                     ,1
arrocesa_recipe_062,Arroz pilado extra largo Envejecido,1
arrocesa_recipe_063,Arroz Santa María Reserva Especial Envejecido Extra Largo listo para ensacar ,1
arrocesa_recipe_064,Santa María Reserva Especial Envejecido Extra Largo Arroba 11.34 KG,1
arrocesa_recipe_065, ARROZ CASCARA humedo GRANO LARGO,1
arrocesa_recipe_066,arroz cascara seco  largo,1
arrocesa_recipe_067,arroz pilado largo natural,1
arrocesa_recipe_068,Arroz Arnejo's Natural listo para ensacar ó empacar,1
arrocesa_recipe_069,Arnejo's Natural Funda 2 KG,1
arrocesa_recipe_070,Arnejo's Natural Funda 5 KG,1
arrocesa_recipe_071,Arnejo's Natural Arroba 25 Lbs,1
arrocesa_recipe_072,Arnejo's Natural Saco QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_073,Arnejo's Natural Funda 2 KG  13 u. máquina                         ,1
arrocesa_recipe_074,Arnejo's Natural Funda 5 KG  6 u. máquina                         ,1
arrocesa_recipe_075,Arroz pilado largo Envejecido,1
arrocesa_recipe_076,Arroz Arnejo's Envejecido listo para ensacar ó empacar,1
arrocesa_recipe_077,Arnejo's Envejecido Funda 2 KG,1
arrocesa_recipe_078,Arnejo's Envejecido Funda 5 KG,1
arrocesa_recipe_079,Arnejo's Envejecido Arroba 25 Lbs,1
arrocesa_recipe_080,Arnejo's Envejecido Saco QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_081,Arnejo's Envejecido Funda 2 KG  13 u. máquina                         ,1
arrocesa_recipe_082,Arnejo's Envejecido Funda 5 KG  6 u. máquina                         ,1
arrocesa_recipe_083,Arroz Lira Express Natural listo para ensacar ó empacar,1
arrocesa_recipe_084,Lira Express Natural Funda 454 GR - 1 Lb,1
arrocesa_recipe_085,Lira Express Natural Funda 1 KG,1
arrocesa_recipe_086,Lira Express Natural Funda 2 KG,1
arrocesa_recipe_087,Lira Express Natural Funda 5 KG,1
arrocesa_recipe_088,Lira Express Natural Arroba 11.34 KG,1
arrocesa_recipe_089,Lira Express Natural Funda 454 GR - 1Lb  24 u. máquina                         ,1
arrocesa_recipe_090,Lira Express Natural Funda 1 KG  30 u. máquina                         ,1
arrocesa_recipe_091,Lira Express Natural Funda 2 KG  13 u. máquina                        ,1
arrocesa_recipe_092,Lira Express Natural Funda 5 KG  6 u. máquina                     ,1
arrocesa_recipe_093,Arroz pilado largo Envejecido,1
arrocesa_recipe_094,Arroz Lira Express Envejecido listo para ensacar ó empacar,1
arrocesa_recipe_095,Lira Express Envejecido Funda 454 GR - 1 Lb,1
arrocesa_recipe_096,Lira Express Envejecido Funda 1 KG,1
arrocesa_recipe_097,Lira Express Envejecido Funda 2 KG,1
arrocesa_recipe_098,Lira Express Envejecido Funda 5 KG,1
arrocesa_recipe_099,Lira Express Envejecido Arroba 11.34 KG,1
arrocesa_recipe_100,Lira Express Envejecido QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_101,Lira Express Envejecido Funda 454 GR - 1Lb  24 u. máquina                         ,1
arrocesa_recipe_102,Lira Express Envejecido Funda 1 KG  30 u. máquina                         ,1
arrocesa_recipe_103,Lira Express Envejecido Funda 2 KG  13 u. máquina                        ,1
arrocesa_recipe_104,Lira Express Envejecido Funda 5 KG  6 u. máquina                     ,1
arrocesa_recipe_105,Arroz Rendidor Natural Largo listo para ensacar ó empacar,1
arrocesa_recipe_106,Rendidor Natural Funda 2 KG                                     ,1
arrocesa_recipe_107,Rendidor Natural Funda 5 KG                                  ,1
arrocesa_recipe_108,Rendidor Natural Saco 10 KG                                    ,1
arrocesa_recipe_109,Rendidor Natural Funda 2 KG  13 u. máquina                                                         ,1
arrocesa_recipe_110,Rendidor Natural Funda 2 KG  15 u. máquina                                                         ,1
arrocesa_recipe_111,Rendidor Natural Funda 5 KG  6 u. máquina                                                         ,1
arrocesa_recipe_112,Arroz Blanco Natural Largo listo para ensacar ó empacar,1
arrocesa_recipe_113,Arroz Blanco Natural QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_114,Arroz pilado largo Envejecido,1
arrocesa_recipe_115,Arroz Santa María Envejecido Largo listo para ensacar ó empacar,1
arrocesa_recipe_116,Santa María Envejecido Funda 4 Lb ,1
arrocesa_recipe_117,Santa María Envejecido Funda 10 Lb ,1
arrocesa_recipe_118,Santa María Envejecido Arroba 11.34 KG,1
arrocesa_recipe_119,Santa María Envejecido QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_120,Santa María Envejecido Funda 4 Lb 13 u. máquina,1
arrocesa_recipe_121,Santa María Envejecido Funda 10 Lb 6 u. máquina,1
arrocesa_recipe_122,Arroz pilado largo Envejecido,1
arrocesa_recipe_123,Arroz Good Rice's Envejecido Largo listo para ensacar ó empacar,1
arrocesa_recipe_124,Good Rice's Envejecido Arroba 11.34 KG,1
arrocesa_recipe_125,Arroz Good Rice's Envejecido QQ - 45.36 KG - 100 Lb,1
arrocesa_recipe_126,Arroz pilado y precocido largo ,1
arrocesa_recipe_127,Arroz Gustadina Precocido Largo listo para ensacar ó empacar,1
arrocesa_recipe_128,Gustadina Precocido Funda 2 KG                                     ,1
arrocesa_recipe_129,Gustadina Precocido Funda 5 KG                                  ,1
arrocesa_recipe_130,Gustadina Precocidol Funda 2 KG  15 u. máquina                                                         ,1
arrocesa_recipe_131,Gustadina Precocido Funda 5 KG  6 u. máquina                                                         ,1
